scenario_id,label,success,failure_reason,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,max_contact_force,arm_force_fl_mean,arm_force_fr_mean,arm_force_rl_mean,arm_force_rr_mean,arm_force_imbalance,final_state,landing_cmd_time,pred_decision,gt_safe_to_land,decision_outcome,scenario_policy,launch_pid,launch_log,exception_message
474,stable,1,,1.82785222763382,-8.96280825531989e-10,2.46609228176092,-103.336621254785,2.56882966265959,2.93989634513855,1.11755030016038,1.17995878888406,0.117861118243727,4.39593351990271,0.186342525409371,0.493893981002633,-8.96280825531989e-10,0.000504233605936168,7.3873963981169e-10,2.55085359068384e-09,0.200936081324952,2.77720217852166e-07,0.000550485999502181,0.970605503333775,1.81660651894048,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,32.139359,land,stable,TP,exploit,2258901,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s474_20260311_082217.log,
475,stable,1,,1.89547554861201,7.25902619977651e-07,2.62405929356579,-99.9086704271446,1.63843470811844,2.2356264591217,0.193359071243681,0.168631539807305,0.376792062267967,4.49392676501299,0.1585603499861,0.196342292150331,7.25902619977651e-07,0.0025950665268995,0.000288025210080739,3.16059920210285e-05,0.117788211094131,1.46914804708695e-07,0.00217518001600269,0.995276455625169,1.86653608009777,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.04676,land,stable,TP,exploit,2266528,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s475_20260311_082331.log,
476,stable,1,,2.21142460759155,-8.96828683255417e-10,2.61373125750404,-101.484933746681,1.83183968067169,2.23353052139282,0.123470656135653,0.287227585730373,0.483945629091697,6.65010523307944,0.1528048727929,0.209479751459929,-8.96828683255417e-10,0.00059904949314671,3.72621735697718e-10,2.82582357635335e-09,0.0975319443538004,2.75401213072168e-07,0.000567666595984907,1.40196525766313,3.03343038764961,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.215641,land,stable,TP,exploit,2273916,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s476_20260311_082417.log,
477,stable,1,,1.87748658936539,-5.66927950336872e-07,2.63432043809816,-100.276261330962,0.447480544447899,0.906021893024445,0.0921799617524322,0.0367502929461546,0.495219157913284,6.48291879566912,0.20106484656687,0.210875060606455,-5.66927950336872e-07,0.000566034678341347,0.000324311416804161,4.03777433737056e-09,0.196090757136171,2.90882356187239e-07,0.000550672715161714,1.37034891984438,2.93712507559287,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.006807,land,stable,TP,exploit,2281362,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s477_20260311_082505.log,
478,stable,1,,2.43037248421775,4.40593893818118e-07,2.11995392277471,-98.960722508367,0.98454225063324,1.34977960586548,0.0733449465865512,0.114679677276684,0.544163187915943,6.68896618129646,0.195224516055665,0.216685350974636,4.40593893818118e-07,0.00267497396111212,0.000176840220944587,2.30596039545536e-05,0.173763681136693,1.35348475997872e-06,0.00268536103850378,1.41160481877028,3.05182570673877,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.291029,land,stable,TP,boundary_validation,2288759,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s478_20260311_082552.log,
479,stable,1,,1.83585990031694,-2.2343836775473e-06,2.15302485823739,-99.7399222911825,1.33838757872581,1.89563477039337,0.469344288966084,1.25382448262588,0.368948732078705,4.36479413025107,0.193593840343556,0.204770065833888,-2.2343836775473e-06,0.00296028675130793,0.000873202874863441,9.03323875552905e-05,0.181853560911852,7.5459757170903e-07,0.00241165929586718,0.962053626369177,1.8775328530591,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.98517,land,stable,TP,boundary_validation,2296158,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s479_20260311_082638.log,
480,stable,1,,2.05938658949057,-3.02659716609369e-07,3,-98.2435540738412,2.76957410573959,2.8422577381134,0.306700880300262,0.11323945733755,0.527446710046623,6.67992053083352,0.259582742524583,0.308408335343986,-3.02659716609369e-07,9.99840346604656e-07,6.93335724899549e-06,0.000184029787328672,0.308408335343986,1.53325953490199e-14,2.79836941239114e-11,1.39382110900382,3.06549640914348,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.020813,land,stable,TP,hard_negative,2303561,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s480_20260311_082726.log,
481,unstable,0,touchdown_vz_osc_high;touchdown_vz_peak_high,2.04674128663629,-2.23438148780373e-06,2.35649069905998,-101.976523969924,1.48706096410751,1.59958779811859,0.156660239672338,0.727161117764778,0.527853087045444,6.76750340186394,0.26719778864652,0.300001144415243,-2.23438148780373e-06,0.00296028309291931,0.000873202018753099,9.03322989845409e-05,0.300001144415243,1.33123919352505e-06,0.00245432879801637,1.46223762754406,3.11241780682065,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.509349,land,unstable,FP,boundary_validation,2310954,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s481_20260311_082812.log,
482,stable,1,,2.30899489872112,-8.96945035770198e-10,2.99386986799462,-101.322099180106,0.953337997198105,1.30179011821747,0.362796310954843,2.0026409701661,0.520600980077038,6.65416420447083,0.241608598857508,0.276782395894636,-8.96945035770198e-10,0.000619185107659564,2.94871372941432e-10,2.8842161783372e-09,0.276782395894636,2.83297308559073e-07,0.000520281026517603,1.40907373544429,2.9963145939755,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.205689,land,stable,TP,hard_negative,2318344,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s482_20260311_082859.log,
483,stable,1,,2.10059570542224,4.40591451756534e-07,3,-102.257161416653,1.10584513346354,1.67913031578064,0.288493618447201,1.37795379870492,0.495270544530799,6.65963378032443,0.219540476051697,0.241682176825969,4.40591451756534e-07,0.00230975520259067,0.000176839242609098,2.30594772548318e-05,0.241682176825969,1.33984061221694e-06,0.0023449541438803,1.38651493318146,3.06281861587975,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.183755,land,stable,TP,hard_negative,2325769,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s483_20260311_082947.log,
