scenario_id,label,success,cum_success_rate,mean_confidence,p10_confidence,p50_confidence,p90_confidence
90,unstable,0,0.833333333333333,0.508546182376271,0.414306250490135,0.489682256017689,0.639770550878938
91,stable,1,0.835164835164835,0.536015341524249,0.362858017579795,0.566120978485259,0.640304041596822
92,stable,1,0.83695652173913,0.586243250706438,0.462388194964476,0.6216402286652,0.765053319651769
93,stable,1,0.838709677419355,0.53564288138074,0.407126213781374,0.483510898254931,0.640298013555695
94,stable,1,0.840425531914894,0.464098535759873,0.391503605154642,0.426684956779645,0.586176507875946
95,stable,1,0.842105263157895,0.610659089688911,0.528219552890178,0.635899099188088,0.704223379074332
96,stable,1,0.84375,0.627910843798979,0.554094554998673,0.638836739157367,0.733430490875708
97,stable,1,0.845360824742268,0.570520423026424,0.440117891561365,0.583232138822427,0.755848915276281
98,stable,1,0.846938775510204,0.605197888471648,0.520553511613364,0.635715286998029,0.773919072689714
99,stable,1,0.848484848484849,0.66665679001196,0.608344876322496,0.640199468837724,0.761908365722015
100,stable,1,0.85,0.714866513738597,0.639889703237505,0.693095442642696,0.799610932927333
